## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/workspace/jogrady/eqtl_study/eqtl_nextflow/results/reviewer/RNA_seq/variant_call/rg_added_T030-STARAligned.sortedByCoord.out.bam] OUTPUT=/home/workspace/jogrady/eqtl_study/eqtl_nextflow/results/reviewer/RNA_seq/variant_call/dedupped_T030-STARAligned.sortedByCoord.out.bam METRICS_FILE=marked_dup_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 26 20:24:20 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	38307118	2894486	0	0	10947689	710430	0.285787	55835181

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
164.0	0	4	0	7
165.0	0	10	0	4
166.0	0	5	0	5
167.0	0	7	0	7
168.0	0	4	0	3
169.0	0	4	0	7
170.0	0	3	0	4
171.0	0	7	0	4
172.0	0	5	0	4
173.0	0	3	0	0
174.0	0	5	0	8
175.0	0	9	0	6
176.0	0	4	0	7
177.0	0	5	0	1
178.0	0	4	0	2
179.0	0	0	0	5
180.0	0	6	0	6
181.0	0	4	0	3
182.0	0	3	0	4
183.0	0	8	0	3
184.0	0	2	0	5
185.0	0	5	0	2
186.0	0	3	0	2
187.0	0	3	0	3
188.0	0	5	0	2
189.0	0	1	0	6
190.0	0	1	0	4
191.0	0	3	0	4
192.0	0	5	0	2
193.0	0	2	0	1
194.0	0	4	0	3
195.0	0	1	0	3
196.0	0	4	0	3
197.0	0	4	0	5
198.0	0	1	0	2
199.0	0	3	0	2
200.0	0	4	0	6
201.0	0	2	0	2
202.0	0	3	0	2
203.0	0	3	0	2
204.0	0	5	0	3
205.0	0	3	0	0
206.0	0	2	0	2
207.0	0	1	0	3
208.0	0	1	0	1
209.0	0	2	0	1
210.0	0	2	0	4
211.0	0	2	0	3
212.0	0	2	0	2
213.0	0	0	0	3
214.0	0	3	0	2
215.0	0	2	0	1
216.0	0	2	0	1
217.0	0	4	0	3
218.0	0	4	0	2
219.0	0	1	0	3
220.0	0	3	0	1
221.0	0	3	0	3
222.0	0	2	0	0
223.0	0	3	0	3
224.0	0	3	0	4
227.0	0	2	0	1
228.0	0	2	0	1
229.0	0	3	0	3
230.0	0	0	0	2
231.0	0	1	0	0
232.0	0	0	0	1
233.0	0	3	0	3
234.0	0	1	0	3
235.0	0	1	0	1
236.0	0	2	0	4
237.0	0	1	0	2
238.0	0	5	0	1
239.0	0	1	0	1
240.0	0	1	0	2
241.0	0	1	0	0
242.0	0	3	0	1
243.0	0	1	0	3
244.0	0	1	0	5
245.0	0	2	0	1
246.0	0	3	0	0
247.0	0	1	0	4
248.0	0	5	0	0
249.0	0	1	0	0
250.0	0	3	0	3
251.0	0	1	0	1
252.0	0	0	0	1
253.0	0	0	0	1
254.0	0	1	0	2
255.0	0	1	0	1
256.0	0	2	0	0
257.0	0	3	0	1
259.0	0	2	0	0
260.0	0	0	0	1
261.0	0	1	0	1
262.0	0	0	0	1
264.0	0	0	0	1
265.0	0	2	0	2
266.0	0	0	0	2
267.0	0	2	0	0
268.0	0	1	0	2
269.0	0	0	0	1
270.0	0	2	0	1
271.0	0	1	0	1
273.0	0	3	0	0
275.0	0	0	0	2
276.0	0	0	0	1
277.0	0	0	0	1
278.0	0	1	0	1
279.0	0	2	0	3
280.0	0	1	0	0
282.0	0	2	0	0
283.0	0	2	0	1
285.0	0	0	0	1
287.0	0	1	0	0
288.0	0	0	0	1
290.0	0	3	0	1
292.0	0	0	0	1
294.0	0	1	0	3
295.0	0	1	0	1
296.0	0	1	0	1
297.0	0	2	0	0
298.0	0	2	0	1
301.0	0	0	0	1
302.0	0	0	0	2
303.0	0	0	0	1
304.0	0	3	0	0
305.0	0	1	0	1
308.0	0	1	0	0
309.0	0	1	0	0
311.0	0	0	0	2
312.0	0	1	0	0
313.0	0	1	0	1
317.0	0	1	0	0
318.0	0	0	0	1
320.0	0	0	0	1
321.0	0	1	0	0
322.0	0	0	0	3
324.0	0	0	0	2
325.0	0	2	0	1
326.0	0	2	0	3
327.0	0	1	0	0
328.0	0	0	0	1
329.0	0	1	0	1
330.0	0	2	0	0
331.0	0	0	0	1
332.0	0	2	0	0
333.0	0	0	0	1
334.0	0	2	0	0
335.0	0	0	0	1
336.0	0	1	0	0
337.0	0	1	0	0
340.0	0	1	0	0
343.0	0	0	0	1
344.0	0	0	0	1
345.0	0	0	0	1
347.0	0	1	0	1
348.0	0	0	0	1
350.0	0	1	0	0
351.0	0	2	0	0
352.0	0	1	0	1
355.0	0	1	0	0
359.0	0	1	0	0
361.0	0	0	0	1
365.0	0	0	0	1
367.0	0	0	0	1
370.0	0	1	0	0
374.0	0	2	0	0
376.0	0	0	0	1
380.0	0	1	0	1
386.0	0	0	0	1
387.0	0	1	0	1
388.0	0	0	0	1
389.0	0	1	0	0
390.0	0	0	0	1
393.0	0	0	0	1
396.0	0	1	0	0
398.0	0	1	0	0
399.0	0	1	0	1
400.0	0	0	0	1
401.0	0	1	0	0
404.0	0	1	0	0
405.0	0	0	0	1
407.0	0	1	0	0
409.0	0	0	0	1
413.0	0	0	0	1
417.0	0	1	0	0
418.0	0	1	0	0
420.0	0	1	0	0
433.0	0	0	0	1
436.0	0	0	0	2
440.0	0	1	0	0
441.0	0	1	0	1
445.0	0	1	0	0
447.0	0	1	0	0
449.0	0	0	0	1
456.0	0	1	0	0
458.0	0	0	0	1
461.0	0	0	0	1
463.0	0	1	0	0
464.0	0	0	0	1
466.0	0	0	0	1
467.0	0	0	0	1
468.0	0	1	0	0
470.0	0	0	0	1
473.0	0	2	0	2
475.0	0	1	0	0
478.0	0	0	0	1
480.0	0	2	0	0
481.0	0	1	0	1
485.0	0	1	0	0
489.0	0	1	0	0
492.0	0	0	0	1
496.0	0	0	0	1
499.0	0	0	0	1
502.0	0	1	0	0
504.0	0	0	0	2
505.0	0	1	0	0
509.0	0	1	0	1
512.0	0	1	0	0
516.0	0	1	0	0
519.0	0	1	0	0
530.0	0	0	0	1
539.0	0	0	0	1
540.0	0	1	0	0
543.0	0	0	0	1
545.0	0	0	0	1
551.0	0	1	0	0
555.0	0	1	0	0
558.0	0	1	0	0
566.0	0	0	0	1
567.0	0	0	0	1
573.0	0	1	0	0
575.0	0	1	0	0
596.0	0	0	0	1
605.0	0	1	0	0
646.0	0	0	0	1
664.0	0	1	0	0
669.0	0	0	0	1
679.0	0	0	0	1
686.0	0	0	0	1
687.0	0	1	0	1
694.0	0	1	0	0
701.0	0	2	0	0
745.0	0	0	0	1
747.0	0	0	0	1
755.0	0	1	0	0
764.0	0	1	0	0
834.0	0	0	0	1
846.0	0	1	0	0
850.0	0	0	0	1
871.0	0	1	0	0
879.0	0	0	0	1
889.0	0	1	0	0
955.0	0	0	0	1
974.0	0	1	0	0
1041.0	0	0	0	1
1065.0	0	1	0	0
1146.0	0	0	0	1
1160.0	0	1	0	0
1605.0	0	0	0	1
1628.0	0	0	0	1
1638.0	0	1	0	0
1655.0	0	1	0	0

